comment,label,processed_comment
"Giao hàng như rùa bò, bực cả người.",negative,giao hàng như rùa bò bực_cả người
"Sản phẩm này cũng được, không quá tệ.",neutral,sản_phẩm không quá tệ
"Nội dung sáng tạo, thích cách làm clip!",positive,nội_dung sáng_tạo thích cách làm clip
"Game lag kinh khủng, chơi không nổi.",negative,game lag kinh_khủng_chơi không nổi
"Chưa dùng nên không rõ, để thử đã.",neutral,chưa dùng nên không rõ để thử
"Video này xứng đáng triệu view, quá hay!",positive,video xứng_đáng triệu view quá hay
"Hàng kém chất lượng, tiền mất tật mang.",negative,hàng kém chất_lượng tiền_mất_tật_mang
"Nhạc này bình thường, nghe tạm được.",neutral,nhạc bình_thường nghe tạm
"Clip dạy hay lắm, học được nhiều thứ!",positive,clip dạy hay lắm học nhiều thứ
"Dịch vụ quá tệ, không đáng để thử.",negative,dịch_vụ quá tệ không đáng để thử
"Phim này dài quá, chưa biết có hay không.",neutral,phim dài quá chưa biết hay không
"Game này đỉnh thật, chơi mê mẩn luôn!",positive,game đỉnh thật chơi mê_mẩn luôn
"Giao hàng chậm, thái độ hỗ trợ cũng tệ.",negative,giao hàng chậm thái_độ hỗ_trợ tệ
"Clip này đỉnh thật, xem xong muốn share liền!",positive,clip đỉnh thật xem xong muốn share liền
"Dịch vụ tệ hại, không đáng 1 sao!",negative,dịch_vụ tệ_hại không đáng 1 sao
"Game này nghe nói hay, để tải về thử.",neutral,game nghe nói hay để tải về thử
"Nhạc chill quá, nghe là mê luôn!",positive,nhạc chill quá nghe mê luôn
"Giao hàng chậm như rùa, bực mình ghê!",negative,giao hàng chậm như rùa bực_mình ghê
"Video này cũng được, không quá đặc biệt.",neutral,video không quá đặc_biệt
"Phim hay vãi, xem xong cảm động muốn khóc!",positive,phim hay vãi xem xong cảm_động muốn khóc
"Hàng lỗi tùm lum, mua về tức điên!",negative,hàng lỗi tùm_lum mua về tức điên
"Chưa xem hết clip, nhưng thấy ổn.",neutral,chưa xem hết clip nhưng thấy ổn
"App này xịn quá, dùng thích mê!",positive,app xịn quá dùng thích mê
"Nhạc dở kinh khủng, nghe 5 giây là tắt!",negative,nhạc dở_kinh_khủng nghe 5 giây tắt
"Sản phẩm này bình thường, chưa biết tốt không.",neutral,sản_phẩm bình_thường chưa biết tốt không
"Video hài quá, cười xỉu luôn!",positive,video hài quá cười xỉu luôn
"Dịch vụ lừa đảo, mọi người cẩn thận nhé!",negative,dịch_vụ lừa_đảo mọi người cẩn_thận nhé
"Phim này dài, để cuối tuần xem thử.",neutral,phim dài để cuối tuần xem thử
"Game đỉnh cao, chơi cả ngày không chán!",positive,game đỉnh_cao chơi cả ngày không chán
"Giao hàng trễ, thái độ nhân viên còn tệ hơn!",negative,giao hàng trễ thái_độ nhân_viên còn tệ hơn
"Clip này tạm được, xem giải trí thôi.",neutral,clip tạm xem giải_trí thôi
"Mỹ phẩm xài thích ghê, sẽ ủng hộ tiếp!",positive,mỹ_phẩm xài thích ghê sẽ ủng_hộ tiếp
"Hàng fake, đừng ai mua kẻo tiếc!",negative,hàng fake đừng ai mua kẻo tiếc
"Chưa thử app này, nghe nói cũng ổn.",neutral,chưa thử app nghe nói ổn
"Video này bá cháy, up thêm đi nhé!",positive,video bá cháy up thêm đi nhé
"Nhạc chán đời, không hiểu sao nổi tiếng.",negative,nhạc chán_đời không hiểu sao nổi_tiếng
"Game này hơi khó, chưa biết có thích không.",neutral,game hơi khó chưa biết thích không
"Clip dạy hay quá, học được nhiều thứ!",positive,clip dạy hay quá học nhiều thứ
"Dịch vụ quá tệ, phí tiền phí công!",negative,dịch_vụ quá tệ_phí tiền phí công
"Phim này nghe đồn hay, để xem sao.",neutral,phim nghe đồn hay để xem sao
"Sản phẩm tốt thật, 5 sao không tiếc!",positive,sản_phẩm tốt thật 5 sao không tiếc
"Giao hàng lâu, làm ăn kiểu gì vậy?",negative,giao hàng lâu làm_ăn kiểu gì vậy
"Nội dung clip bình thường, không ấn tượng lắm.",neutral,nội_dung clip bình_thường không ấn_tượng lắm
"Video đỉnh của chóp, xem là ghiền!",positive,video đỉnh chóp xem ghiền
"App lỗi liên tục, xóa luôn cho xong!",negative,app lỗi liên_tục xóa luôn cho_xong
"Chưa dùng sản phẩm, để test thử đã.",neutral,chưa dùng sản_phẩm để test thử
"Nhạc hay cực, nghe hoài không chán!",positive,nhạc hay cực nghe hoài không chán
"Hàng kém chất lượng, tiền mất tật mang!",negative,hàng kém chất_lượng tiền_mất_tật_mang
"Clip này cũng ổn, xem tạm được.",neutral,clip ổn xem tạm
"Game này tuyệt vời, chơi mê mẩn luôn!",positive,game tuyệt_vời chơi mê_mẩn luôn
"Dịch vụ chán òm, không bao giờ quay lại!",negative,dịch_vụ chán_òm không bao_giờ quay lại
"Phim này dài quá, chưa biết hay dở.",neutral,phim dài quá chưa biết hay dở
"Video sáng tạo ghê, thích cách làm clip!",positive,video sáng_tạo ghê_thích cách làm clip
"Giao hàng chậm, thái độ hỗ trợ cũng tệ!",negative,giao hàng chậm thái_độ hỗ_trợ tệ
"Sản phẩm này nghe nói tốt, để thử xem.",neutral,sản_phẩm nghe nói tốt để thử xem
"Clip này xứng đáng triệu view, quá chất!",positive,clip xứng_đáng triệu view quá chất
"Nhạc dở ẹc, phí thời gian nghe!",negative,nhạc dở ẹc_phí thời_gian nghe
"Game này bình thường, chơi được vài ván.",neutral,game bình_thường chơi vài ván
"Video dạy đỉnh quá, up thêm nhiều nữa nhé!",positive,video dạy đỉnh quá up thêm nhiều nữa nhé
"Hàng giao trễ, chất lượng còn tệ hơn!",negative,hàng giao_trễ chất_lượng còn tệ hơn
"Chưa xem hết phim, nhưng thấy cũng được.",neutral,chưa xem hết phim nhưng thấy
"App này xài thích thật, recommend mọi người!",positive,app xài thích thật recommend mọi người
"Dịch vụ thất vọng, không đáng để thử!",negative,dịch_vụ thất_vọng không đáng để thử
"Clip này nghe nói viral, để check thử.",neutral,clip nghe nói viral để check thử
"Nhạc chill vãi, nghe là thư giãn liền!",positive,nhạc chill_vãi nghe thư_giãn liền
"Game lag kinh khủng, chơi không nổi!",negative,game lag kinh_khủng_chơi không nổi
"Sản phẩm này tạm ổn, chưa có gì nổi bật.",neutral,sản_phẩm tạm ổn chưa gì nổi_bật
"Video hài hước ghê, xem cười đau bụng!",positive,video hài_hước ghê xem cười đau bụng
"Hàng giao chậm, còn bị móp nữa!",negative,hàng giao chậm còn móp nữa
"Phim này dài, chưa biết có hay không.",neutral,phim dài chưa biết hay không
"Game đỉnh thật, chơi là mê luôn!",positive,game đỉnh thật chơi mê luôn
"Dịch vụ tệ quá, không hiểu sao còn tồn tại!",negative,dịch_vụ tệ quá không hiểu sao còn tồn_tại
"Clip này bình thường, xem cho vui thôi.",neutral,clip bình_thường xem vui thôi
"Nhạc hay quá, thêm vào playlist ngay!",positive,nhạc hay quá thêm vào playlist ngay
"App này lỗi hoài, xài bực cả người!",negative,app lỗi hoài_xài bực_cả người
"Chưa thử sản phẩm, nghe review cũng ổn.",neutral,chưa thử sản_phẩm nghe review ổn
"Video này đỉnh cao, không thể bỏ lỡ!",positive,video đỉnh_cao không_thể bỏ lỡ
"Giao hàng lâu, thái độ nhân viên kém!",negative,giao hàng lâu thái_độ nhân_viên kém
"Game này nghe nói hay, để chơi thử.",neutral,game nghe nói hay để chơi thử
"Phim cảm động ghê, xem xong khóc luôn!",positive,phim cảm_động ghê xem xong khóc luôn
"Hàng dởm, đừng ai mua kẻo hối hận!",negative,hàng dởm đừng ai mua kẻo hối_hận
"Clip này cũng được, không quá tệ.",neutral,clip không quá tệ
"App xịn quá, dùng thích mê ly!",positive,app xịn quá dùng thích mê_ly
"Nhạc chán òm, nghe phát là tắt!",negative,nhạc chán_òm nghe phát tắt
"Sản phẩm này bình thường, chưa rõ chất lượng.",neutral,sản_phẩm bình_thường chưa rõ chất_lượng
"Video hài quá, xem cười sảng khoái!",positive,video hài quá xem cười sảng_khoái
"Dịch vụ lừa đảo, cạch mặt luôn!",negative,dịch_vụ lừa_đảo cạch mặt luôn
"Phim này dài quá, để xem từ từ.",neutral,phim dài quá để xem từ_từ
"Game đỉnh của chóp, chơi hoài không chán!",positive,game đỉnh chóp chơi hoài không chán
"Giao hàng chậm, hàng còn hỏng nữa!",negative,giao hàng chậm hàng còn hỏng nữa
"Clip này tạm ổn, xem giải trí được.",neutral,clip tạm ổn xem giải_trí
"Mỹ phẩm tốt ghê, sẽ mua thêm!",positive,mỹ_phẩm tốt ghê sẽ mua thêm
"Hàng kém chất lượng, phí tiền thật!",negative,hàng kém chất_lượng phí tiền thật
"Chưa xem hết video, nhưng thấy cũng ổn.",neutral,chưa xem hết video nhưng thấy ổn
"Nhạc hay vãi, nghe là ghiền luôn!",positive,nhạc hay vãi nghe ghiền luôn
"App này tệ quá, xóa ngay lập tức!",negative,app tệ quá xóa ngay_lập_tức
"Game này nghe đồn hay, để thử xem.",neutral,game nghe đồn hay để thử xem
"Video đỉnh thật, up thêm nhiều nhé!",positive,video đỉnh thật up thêm nhiều nhé
"Dịch vụ chán đời, không đáng 1 xu!",negative,dịch_vụ chán_đời không đáng 1 xu
"Phim này bình thường, chưa có gì đặc biệt.",neutral,phim bình_thường chưa gì đặc_biệt
"Sản phẩm xịn quá, 5 sao luôn!",positive,sản_phẩm xịn quá 5 sao luôn
"Giao hàng lâu, thái độ hỗ trợ tệ!",negative,giao hàng lâu thái_độ hỗ_trợ tệ
"Clip này cũng được, xem tạm thôi.",neutral,clip xem tạm thôi
"Nhạc chill cực, nghe thư giãn ghê!",positive,nhạc chill_cực nghe thư_giãn ghê
"Game lag quá, chơi bực cả người!",negative,game lag quá chơi bực_cả người
"Sản phẩm này ổn, chưa biết lâu dài sao.",neutral,sản_phẩm ổn chưa biết lâu_dài sao
"Video hài hước ghê, cười muốn xỉu!",positive,video hài_hước ghê_cười muốn xỉu
"Hàng giao chậm, chất lượng còn tệ!",negative,hàng giao chậm chất_lượng còn tệ
"Phim này nghe nói hay, để xem thử.",neutral,phim nghe nói hay để xem thử
"Game đỉnh cao, chơi là mê mẩn!",positive,game đỉnh_cao_chơi mê mẩn
"Dịch vụ thất vọng, không bao giờ quay lại!",negative,dịch_vụ thất_vọng không bao_giờ quay lại
"Clip này bình thường, không ấn tượng lắm.",neutral,clip bình_thường không ấn_tượng lắm
"Nhạc hay quá, nghe hoài không chán!",positive,nhạc hay quá nghe hoài không chán
"Video này xuất sắc, không thể rời mắt được!",positive,video xuất_sắc không_thể rời mắt
"Dịch vụ quá chán, lần sau né ngay!",negative,dịch_vụ quá chán lần sau né ngay
"Game này mới ra, chưa biết có đáng chơi không.",neutral,game mới ra chưa biết đáng chơi không
"Nhạc cuốn quá, nghe một lần là nhớ mãi!",positive,nhạc cuốn quá nghe một lần nhớ mãi
"Giao hàng trễ kinh khủng, thất vọng toàn tập!",negative,giao hàng trễ kinh_khủng thất_vọng toàn_tập
"Clip này thú vị đấy, nhưng chưa đủ ấn tượng.",neutral,clip thú_vị đấy nhưng chưa đủ ấn_tượng
"Phim cảm xúc ghê, xem xong rưng rưng!",positive,phim cảm_xúc ghê xem xong rưng_rưng
"Hàng vừa xấu vừa đắt, mua xong tiếc đứt ruột!",negative,hàng vừa xấu vừa đắt mua xong tiếc đứt ruột
"Sản phẩm nghe bảo tốt, để dùng thử xem sao.",neutral,sản_phẩm nghe bảo tốt để dùng thử xem sao
"App này mượt mà, xài sướng cả tay!",positive,app mượt_mà xài sướng cả tay
"Nhạc gì mà chán thế, nghe buồn ngủ luôn!",negative,nhạc gì mà chán_thế nghe buồn_ngủ luôn
"Video này dài dòng, chưa rõ hay dở ra sao.",neutral,video dài dòng chưa rõ hay dở ra sao
"Clip phản ánh đúng thực tế, vỗ tay nhiệt liệt!",positive,clip phản_ánh đúng thực_tế vỗ_tay nhiệt_liệt
"Dịch vụ hỗ trợ như hạch, lần cuối hợp tác!",negative,dịch_vụ hỗ_trợ như hạch lần cuối hợp_tác
"Game này hình đẹp, để trải nghiệm thử.",neutral,game hình_đẹp để trải_nghiệm thử
"Phim đỉnh thật sự, kịch bản quá xuất sắc!",positive,phim đỉnh thật_sự kịch_bản quá xuất_sắc
"Hàng giao sai, còn cãi khách nữa chứ!",negative,hàng giao sai còn cãi khách nữa chứ
"Nhạc này nghe tạm, không có gì đặc sắc.",neutral,nhạc nghe tạm không gì đặc_sắc
"Video sáng tạo đỉnh cao, không thể chê!",positive,video sáng_tạo đỉnh_cao không_thể chê
"App toàn bug, xài mà muốn đập máy!",negative,app toàn bug_xài mà muốn đập máy
"Sản phẩm này mới mua, chưa rõ bền không.",neutral,sản_phẩm mới mua chưa rõ bền không
"Clip kể chuyện cuốn, xem xong muốn nghe tiếp!",positive,clip kể chuyện cuốn xem xong muốn nghe tiếp
"Giao hàng chậm chạp, thái độ còn lồi lõm!",negative,giao hàng chậm_chạp thái_độ còn lồi lõm
"Phim này được khen nhiều, để xem có đúng không.",neutral,phim khen nhiều để xem đúng không
"Game đồ họa đẹp, chơi sướng mắt ghê!",positive,game đồ họa đẹp chơi sướng mắt ghê
"Dịch vụ quá kém, quảng cáo thì hay ho!",negative,dịch_vụ quá kém quảng_cáo thì hay ho
"Video này hơi nhàm, xem một lúc là chán.",neutral,video hơi nhàm xem một lúc chán
"Nhạc remix đỉnh cao, nghe muốn nhún nhảy!",positive,nhạc remix đỉnh_cao nghe muốn nhún_nhảy
"Hàng mua về hỏng luôn, shop làm ăn chán!",negative,hàng mua về hỏng luôn shop làm_ăn chán
"App này mới tải, chưa biết có ổn không.",neutral,app mới tải chưa biết ổn không
"Clip truyền cảm hứng ghê, xem xong có động lực!",positive,clip truyền cảm_hứng ghê xem xong động_lực
"Phim gì mà nhạt nhẽo, bỏ dở giữa chừng!",negative,phim gì mà nhạt_nhẽo bỏ_dở giữa chừng
"Sản phẩm này giá rẻ, để thử xem chất lượng.",neutral,sản_phẩm giá rẻ để thử xem chất_lượng
"Game này kịch tính, chơi mà tim đập thình thịch!",positive,game kịch tính_chơi mà tim đập thình_thịch
"Dịch vụ chăm sóc khách hàng tệ, không tôn trọng!",negative,dịch_vụ chăm_sóc khách_hàng tệ không tôn_trọng
"Nhạc này nghe lạ, chưa biết có hợp gu không.",neutral,nhạc nghe lạ chưa biết hợp_gu không
"Video dựng đẹp mắt, nội dung sâu sắc!",positive,video dựng đẹp_mắt nội_dung sâu_sắc
"Hàng giao thiếu phụ kiện, shop giải thích vòng vo!",negative,hàng giao thiếu phụ_kiện shop giải_thích vòng vo
"Clip này ngắn gọn, xem thử thấy cũng ổn.",neutral,clip ngắn_gọn xem thử thấy ổn
"App thiết kế đẹp, dùng tiện lợi ghê!",positive,app thiết_kế đẹp dùng tiện_lợi ghê
"Phim dở tệ, phí thời gian xem luôn!",negative,phim dở tệ_phí thời_gian xem luôn
"Game này nghe bạn bè khen, để chơi thử.",neutral,game nghe bạn_bè khen để chơi thử
"Nhạc live đỉnh quá, nổi da gà luôn!",positive,nhạc live_đỉnh quá nổi da_gà luôn
"Giao hàng lâu lắc, còn giao nhầm địa chỉ!",negative,giao hàng lâu_lắc còn giao nhầm địa_chỉ
"Video này nội dung lạ, chưa biết có hay không.",neutral,video nội_dung lạ chưa biết hay không
"Sản phẩm vượt mong đợi, đáng tiền ghê!",positive,sản_phẩm vượt mong_đợi đáng tiền ghê
"Dịch vụ hỗ trợ khách như trò đùa, bực mình!",negative,dịch_vụ hỗ_trợ khách như trò_đùa bực_mình
"Phim này hơi buồn, xem thử cho biết.",neutral,phim hơi buồn xem thử biết
"Clip kể chuyện cười ra nước mắt, quá đỉnh!",positive,clip kể chuyện cười_ra_nước_mắt quá đỉnh
"Hàng rẻ mà chất lượng rẻ mạt, thất vọng!",negative,hàng rẻ mà chất_lượng rẻ_mạt thất_vọng
"App này mới update, để xem có gì mới.",neutral,app mới update để xem gì mới
"Game này căng thẳng, chơi mà hồi hộp ghê!",positive,game căng_thẳng chơi mà hồi_hộp ghê
"Nhạc gì mà lạc hậu thế, nghe phát chán!",negative,nhạc gì mà lạc_hậu thế nghe phát chán
"Video này hình ảnh đẹp, chưa rõ nội dung sao.",neutral,video hình_ảnh đẹp chưa rõ nội_dung sao
"Phim này kịch bản hay, diễn viên đỉnh nữa!",positive,phim kịch_bản hay diễn_viên đỉnh nữa
"Dịch vụ giao hàng lề mề, không chuyên nghiệp!",negative,dịch_vụ giao hàng lề_mề không chuyên_nghiệp
"Sản phẩm này giá cao, để cân nhắc đã.",neutral,sản_phẩm giá cao để cân_nhắc
"Clip phân tích sâu sắc, học hỏi được nhiều!",positive,clip phân_tích sâu_sắc học_hỏi nhiều
"Hàng giao trầy xước, shop không chịu đổi!",negative,hàng giao trầy_xước shop không chịu đổi
"Game này mới ra mắt, chưa biết có hot không.",neutral,game mới ra_mắt chưa biết hot không
"Nhạc acoustic nhẹ nhàng, nghe relax ghê!",positive,nhạc acoustic nhẹ_nhàng nghe relax ghê
"App crash liên tục, xài mà phát cáu!",negative,app crash liên_tục xài mà phát cáu
"Video này ngắn, xem thử thấy cũng được.",neutral,video ngắn xem thử thấy
"Phim hành động đỉnh cao, xem mãn nhãn!",positive,phim hành_động đỉnh_cao xem mãn nhãn
"Dịch vụ quảng cáo thì ngon, thực tế thì tệ!",negative,dịch_vụ quảng_cáo thì ngon thực_tế thì tệ
"Sản phẩm này bạn recommend, để thử xem.",neutral,sản_phẩm bạn recommend để thử xem
"Clip này ý nghĩa, xem xong suy ngẫm ghê!",positive,clip ý_nghĩa xem xong suy_ngẫm ghê
"Hàng giao lâu, mở ra còn hỏng nữa!",negative,hàng giao_lâu mở ra còn hỏng nữa
"Nhạc này lạ tai, chưa biết có thích không.",neutral,nhạc lạ_tai chưa biết thích không
"Game chiến thuật hay, chơi phát ghiền!",positive,game chiến_thuật hay chơi phát ghiền
"Dịch vụ quá tệ, không xứng với giá tiền!",negative,dịch_vụ quá tệ không xứng giá tiền
"Video này nội dung đơn giản, xem cho vui.",neutral,video nội_dung đơn_giản xem vui
"Phim này cảm động, khóc hết nước mắt!",positive,phim cảm_động khóc hết nước_mắt
"Hàng gì mà lởm thế, mua về vứt luôn!",negative,hàng gì mà lởm_thế mua về vứt luôn
"App này mới cài, chưa rõ có tốt không.",neutral,app mới cài chưa rõ tốt không
"Clip reaction hài hước, xem cười nghiêng ngả!",positive,clip reaction hài_hước xem cười nghiêng_ngả
"Giao hàng chậm, nhân viên còn hỗn láo!",negative,giao hàng chậm nhân_viên còn hỗn_láo
"Game này đồ họa đẹp, để trải nghiệm thử.",neutral,game đồ họa đẹp để trải_nghiệm thử
"Nhạc EDM bùng nổ, nghe là muốn quẩy!",positive,nhạc edm bùng_nổ nghe muốn quẩy
"Dịch vụ chăm sóc khách hàng kém, cạch mặt!",negative,dịch_vụ chăm_sóc khách_hàng kém_cạch mặt
"Phim này dài tập, chưa biết có hay không.",neutral,phim dài_tập chưa biết hay không
"Video này sáng tạo, xem mà trầm trồ!",positive,video sáng_tạo xem mà trầm_trồ
"Hàng giao sai màu, shop không chịu trách nhiệm!",negative,hàng giao sai màu shop không chịu trách_nhiệm
"Sản phẩm này rẻ, để mua thử xem sao.",neutral,sản_phẩm rẻ để mua thử xem sao
"Game nhập vai đỉnh, chơi quên cả thời gian!",positive,game nhập_vai đỉnh chơi quên cả thời_gian
"Nhạc gì mà chán ngắt, nghe phát buồn ngủ!",negative,nhạc gì mà chán_ngắt nghe phát buồn ngủ
"Clip này nội dung lạ, xem thử cho biết.",neutral,clip nội_dung lạ xem thử biết
"Phim này plot twist hay, xem xong bất ngờ!",positive,phim plot twist hay xem xong bất_ngờ
"Dịch vụ giao hàng tệ, không đúng hẹn!",negative,dịch_vụ giao hàng tệ không đúng hẹn
"App này nghe nói tiện, để dùng thử.",neutral,app nghe nói_tiện để dùng thử
"Video du lịch đẹp mê, xem muốn xách ba lô lên!",positive,video du_lịch đẹp_mê xem muốn xách ba lô lên
"Hàng kém bền, dùng vài ngày là hỏng!",negative,hàng kém bền dùng vài ngày hỏng
"Nhạc này bình thường, chưa thấy gì nổi bật.",neutral,nhạc bình_thường chưa thấy gì nổi_bật
"Game này hấp dẫn, chơi mà không dứt ra được!",positive,game hấp_dẫn chơi mà không dứt ra
"Dịch vụ hỗ trợ chậm chạp, thái độ kém!",negative,dịch_vụ hỗ_trợ chậm_chạp thái_độ kém
"Phim này bạn khen, để xem có đúng không.",neutral,phim bạn khen để xem đúng không
"Clip này dựng đẹp, nội dung cuốn hút!",positive,clip dựng đẹp nội_dung cuốn_hút
"Hàng giao trễ, còn bị bể nữa chứ!",negative,hàng giao_trễ còn bể nữa chứ
"Sản phẩm này giá ổn, chưa biết chất lượng.",neutral,sản_phẩm giá ổn chưa biết chất_lượng
"Nhạc ballad sâu lắng, nghe mà thấm!",positive,nhạc ballad sâu lắng_nghe mà thấm
"Video này chất lượng, xem mà đã mắt ghê!",positive,video chất_lượng xem mà mắt ghê
"Dịch vụ quá tệ, liên hệ hỗ trợ không ai trả lời!",negative,dịch_vụ quá tệ liên_hệ hỗ_trợ không ai trả_lời
"Game này mới cập nhật, chưa biết có gì hot.",neutral,game mới cập_nhật chưa biết gì hot
"Nhạc đỉnh cao, nghe xong muốn loop lại!",positive,nhạc đỉnh_cao nghe xong muốn loop lại
"Giao hàng lâu lắc, mở ra còn thiếu đồ!",negative,giao hàng lâu_lắc mở ra còn thiếu đồ
"Clip này nội dung đơn giản, xem tạm ổn.",neutral,clip nội_dung đơn_giản xem tạm ổn
"Phim này kịch tính, xem mà hồi hộp luôn!",positive,phim kịch tính xem mà hồi_hộp luôn
"Hàng gì mà đắt cắt cổ, chất lượng thì tệ!",negative,hàng gì mà đắt cắt_cổ chất_lượng thì tệ
"Sản phẩm này nghe bạn bè khen, để thử xem.",neutral,sản_phẩm nghe bạn_bè khen để thử xem
"App này tiện lợi, dùng một lần là thích!",positive,app tiện_lợi dùng một lần thích
"Nhạc dở không chịu nổi, tắt ngay từ đầu!",negative,nhạc dở không chịu nổi tắt ngay từ đầu
"Video này hơi dài, chưa biết có đáng xem không.",neutral,video hơi dài chưa biết đáng xem không
"Clip dạy nấu ăn hay, làm theo thành công luôn!",positive,clip dạy nấu_ăn hay làm theo thành_công luôn
"Dịch vụ giao hàng chán, toàn giao trễ!",negative,dịch_vụ giao hàng chán toàn giao trễ
"Game này hình ảnh đẹp, để chơi thử xem sao.",neutral,game hình_ảnh đẹp để chơi thử xem sao
"Phim này ý nghĩa, xem xong suy nghĩ nhiều!",positive,phim ý_nghĩa xem xong suy_nghĩ nhiều
"Hàng giao sai kích cỡ, shop không giải quyết!",negative,hàng giao sai_kích_cỡ shop không giải_quyết
"Nhạc này nghe được, nhưng không quá đặc biệt.",neutral,nhạc nghe nhưng không quá đặc_biệt
"Video dựng chuyên nghiệp, nội dung cuốn hút!",positive,video dựng chuyên_nghiệp nội_dung cuốn_hút
"App này chậm chạp, dùng mà phát bực!",negative,app chậm_chạp dùng mà phát bực
"Sản phẩm này mới ra, chưa rõ chất lượng thế nào.",neutral,sản_phẩm mới ra chưa rõ chất_lượng thế_nào
"Clip này truyền năng lượng tích cực, thích ghê!",positive,clip truyền năng_lượng tích_cực thích ghê
"Giao hàng trễ, hàng còn bị móp méo!",negative,giao hàng trễ hàng còn móp méo
"Phim này nghe nói buồn, để xem thử.",neutral,phim nghe nói buồn để xem thử
